Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 2009. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 04:44:53 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
29 Tlaxcala,001 Amaxac de guerrero,323    Impresión e industrias conexas ,1,1,0,
29 Tlaxcala,001 Amaxac de guerrero,327    Fabricación de productos a base de minerales no metálicos ,2,1,1,
29 Tlaxcala,001 Amaxac de guerrero,332    Fabricación de productos metálicos ,8,8,0,
29 Tlaxcala,001 Amaxac de guerrero,336    Fabricación de equipo de transporte ,5,5,0,
29 Tlaxcala,001 Amaxac de guerrero,337    Fabricación de muebles colchones y persianas ,6,5,1,
29 Tlaxcala,001 Amaxac de guerrero,339    Otras industrias manufactureras ,1,0,1,
22 Querétaro,001 Amealco de bonfil,311    Industria alimentaria ,82,47,35,
22 Querétaro,001 Amealco de bonfil,312    Industria de las bebidas y del tabaco ,5,4,1,
22 Querétaro,001 Amealco de bonfil,314    Fabricación de productos textiles excepto prendas de vestir ,18,5,13,
22 Querétaro,001 Amealco de bonfil,315    Fabricación de prendas de vestir ,1688,591,1097,
22 Querétaro,001 Amealco de bonfil,321    Industria de la madera ,6,6,0,
22 Querétaro,001 Amealco de bonfil,322    Industria del papel ,3,0,3,
22 Querétaro,001 Amealco de bonfil,323    Impresión e industrias conexas ,13,10,3,
22 Querétaro,001 Amealco de bonfil,332    Fabricación de productos metálicos ,34,34,0,
22 Querétaro,001 Amealco de bonfil,337    Fabricación de muebles colchones y persianas ,5,5,0,
22 Querétaro,001 Amealco de bonfil,339    Otras industrias manufactureras ,20,10,10,
32 Zacatecas,001 Apozol,311    Industria alimentaria ,17,15,2,
32 Zacatecas,001 Apozol,321    Industria de la madera ,6,6,0,
32 Zacatecas,001 Apozol,327    Fabricación de productos a base de minerales no metálicos ,12,12,0,
32 Zacatecas,001 Apozol,332    Fabricación de productos metálicos ,15,13,2,
