Instituto Nacional de Estadística y Geografía,,,,,,,
INEGI. Censos Económicos 2004. Resultados definitivos,,,,,,,
Fecha de consulta: 25/08/2021 03:43:30 p. m.,,,,,,,
,,,,,,,
Entidad,Municipio,Actividad Económica,UE UNIDADES ECONÓMICAS,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
01 Aguascalientes,001 Aguascalientes,326    Industria del plástico y del hule                                                                                                                                                                       ,      * ,794,513,281,
01 Aguascalientes,001 Aguascalientes,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     44 ,382,305,77,
01 Aguascalientes,001 Aguascalientes,331    Industrias metálicas básicas                                                                                                                                                                            ,     11 ,183,173,10,
01 Aguascalientes,001 Aguascalientes,332    Fabricación de productos metálicos                                                                                                                                                                      ,    547 ,2784,2352,432,
01 Aguascalientes,001 Aguascalientes,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,     40 ,1225,1111,114,
01 Aguascalientes,001 Aguascalientes,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios electrónicos                                                                                  ,      * ,5095,2204,2891,
01 Aguascalientes,001 Aguascalientes,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,      8 ,291,244,47,
01 Aguascalientes,001 Aguascalientes,336    Fabricación de equipo de transporte                                                                                                                                                                     ,      * ,5917,3739,2178,
01 Aguascalientes,001 Aguascalientes,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,    150 ,2348,2104,244,
01 Aguascalientes,001 Aguascalientes,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,555,374,181,
25 Sinaloa,001 Ahome,311    Industria alimentaria                                                                                                                                                                                   ,    407 ,4453,2572,1881,
25 Sinaloa,001 Ahome,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,     25 ,1002,916,86,
25 Sinaloa,001 Ahome,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,     11 ,27,16,11,
25 Sinaloa,001 Ahome,315    Fabricación de prendas de vestir                                                                                                                                                                        ,     39 ,789,168,621,
25 Sinaloa,001 Ahome,321    Industria de la madera                                                                                                                                                                                  ,     44 ,108,104,4,
25 Sinaloa,001 Ahome,322    Industria del papel                                                                                                                                                                                     ,     13 ,30,11,19,
25 Sinaloa,001 Ahome,323    Impresión e industrias conexas                                                                                                                                                                          ,     47 ,212,142,70,
25 Sinaloa,001 Ahome,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,      * ,118,104,14,
25 Sinaloa,001 Ahome,325    Industria química                                                                                                                                                                                       ,     15 ,202,164,38,
25 Sinaloa,001 Ahome,326    Industria del plástico y del hule                                                                                                                                                                       ,      * ,100,89,11,
25 Sinaloa,001 Ahome,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     23 ,234,208,26,
25 Sinaloa,001 Ahome,331    Industrias metálicas básicas                                                                                                                                                                            ,      * ,9,9,0,
