Instituto Nacional de Estadística y Geografía,,,,,,,
INEGI. Censos Económicos 2014. Resultados definitivos,,,,,,,
Fecha de consulta: 26/08/2021 05:04:19 a. m.,,,,,,,
,,,,,,,
Año Censal,Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
2014,04 Campeche,001 Calkiní,322 Industria del papel,5,4,1,
2014,04 Campeche,001 Calkiní,323 Impresión e industrias conexas,7,4,3,
2014,04 Campeche,001 Calkiní,327 Fabricación de productos a base de minerales no metálicos,7,7,0,
2014,04 Campeche,001 Calkiní,332 Fabricación de productos metálicos,49,46,3,
2014,04 Campeche,001 Calkiní,337 Fabricación de muebles colchones y persianas,33,33,0,
2014,04 Campeche,001 Calkiní,339 Otras industrias manufactureras,23,10,13,
2014,04 Campeche,002 Campeche,311 Industria alimentaria,1529,864,665,
2014,04 Campeche,002 Campeche,312 Industria de las bebidas y del tabaco,1773,1464,309,
2014,04 Campeche,002 Campeche,314 Fabricación de productos textiles excepto prendas de vestir,47,24,23,
2014,04 Campeche,002 Campeche,315 Fabricación de prendas de vestir,2955,1206,1749,
2014,04 Campeche,002 Campeche,31C  Subsectores agrupados por el principio de confidencialidad,33,25,8,
2014,04 Campeche,002 Campeche,321 Industria de la madera,165,133,32,
2014,04 Campeche,002 Campeche,322 Industria del papel,19,7,12,
2014,04 Campeche,002 Campeche,323 Impresión e industrias conexas,288,192,96,
2014,04 Campeche,002 Campeche,325 Industria química,66,46,20,
2014,04 Campeche,002 Campeche,326 Industria del plástico y del hule,87,52,35,
2014,04 Campeche,002 Campeche,327 Fabricación de productos a base de minerales no metálicos,189,170,19,
2014,04 Campeche,002 Campeche,332 Fabricación de productos metálicos,437,400,37,
2014,04 Campeche,002 Campeche,337 Fabricación de muebles colchones y persianas,176,141,35,
2014,04 Campeche,002 Campeche,339 Otras industrias manufactureras,78,32,46,
2014,04 Campeche,003 Carmen,311 Industria alimentaria,631,400,231,
2014,04 Campeche,003 Carmen,312 Industria de las bebidas y del tabaco,399,271,128,
2014,04 Campeche,003 Carmen,314 Fabricación de productos textiles excepto prendas de vestir,30,19,11,
2014,04 Campeche,003 Carmen,315 Fabricación de prendas de vestir,73,18,55,
2014,04 Campeche,003 Carmen,31C  Subsectores agrupados por el principio de confidencialidad,124,105,19,
2014,04 Campeche,003 Carmen,321 Industria de la madera,100,98,2,
2014,04 Campeche,003 Carmen,322 Industria del papel,3,2,1,
2014,04 Campeche,003 Carmen,323 Impresión e industrias conexas,98,71,27,
2014,04 Campeche,003 Carmen,325 Industria química,22,19,3,
