Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 2009. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 04:43:00 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
24 San luis potosí,001 Ahualulco,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,24,22,2,
24 San luis potosí,001 Ahualulco,31  - 33 industrias manufactureras ,142,91,51,
24 San luis potosí,001 Ahualulco,43     Comercio al por mayor ,97,79,18,
24 San luis potosí,001 Ahualulco,46     Comercio al por menor ,521,218,303,
24 San luis potosí,001 Ahualulco,51     Información en medios masivos ,1,0,1,
24 San luis potosí,001 Ahualulco,52     Servicios financieros y de seguros ,8,1,7,
24 San luis potosí,001 Ahualulco,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,2,1,1,
24 San luis potosí,001 Ahualulco,54     Servicios profesionales científicos y técnicos ,6,2,4,
24 San luis potosí,001 Ahualulco,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,12,5,7,
24 San luis potosí,001 Ahualulco,62     Servicios de salud y de asistencia social ,41,17,24,
24 San luis potosí,001 Ahualulco,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,2,1,1,
24 San luis potosí,001 Ahualulco,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,85,37,48,
24 San luis potosí,001 Ahualulco,81     Otros servicios excepto actividades gubernamentales ,71,50,21,
08 Chihuahua,001 Ahumada,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,16,13,3,
08 Chihuahua,001 Ahumada,31  - 33 industrias manufactureras ,329,128,201,
08 Chihuahua,001 Ahumada,43     Comercio al por mayor ,64,57,7,
08 Chihuahua,001 Ahumada,46     Comercio al por menor ,466,267,199,
08 Chihuahua,001 Ahumada,52     Servicios financieros y de seguros ,5,5,0,
08 Chihuahua,001 Ahumada,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,2,0,2,
08 Chihuahua,001 Ahumada,54     Servicios profesionales científicos y técnicos ,2,1,1,
08 Chihuahua,001 Ahumada,61     Servicios educativos ,27,19,8,
08 Chihuahua,001 Ahumada,62     Servicios de salud y de asistencia social ,33,6,27,
08 Chihuahua,001 Ahumada,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,7,4,3,
08 Chihuahua,001 Ahumada,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,206,81,125,
08 Chihuahua,001 Ahumada,81     Otros servicios excepto actividades gubernamentales ,76,68,8,
17 Morelos,001 Amacuzac,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,6,6,0,
17 Morelos,001 Amacuzac,21     Minería ,16,16,0,
17 Morelos,001 Amacuzac,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,13,10,3,
17 Morelos,001 Amacuzac,31  - 33 industrias manufactureras ,110,86,24,
17 Morelos,001 Amacuzac,43     Comercio al por mayor ,59,46,13,
17 Morelos,001 Amacuzac,46     Comercio al por menor ,410,175,235,
17 Morelos,001 Amacuzac,48  - 49 transportes correos y almacenamiento ,112,105,7,
